,0
690,1.0
691,1.7221589750981537e-54
692,1.7079953764664712e-32
693,1.0
694,1.0
695,1.0
696,1.0
697,1.0
698,1.0
699,1.0
700,3.3300762603946607e-20
701,1.0
702,1.0
703,1.4619828080331394e-39
704,1.0
705,1.0
706,2.478332598038158e-47
707,1.0
708,1.0
709,1.534840956337247e-34
710,1.0
711,1.0
712,1.0
713,1.0
714,1.0
715,1.0
716,1.0
717,1.0
718,1.0
719,1.0
720,1.0
721,1.0
722,1.0
723,1.0
724,1.0
725,1.0
726,1.0
727,1.0
728,1.0
729,1.0
730,1.0
731,1.0
732,1.0
733,1.0
734,1.0
735,1.0
736,6.899847514719609e-35
737,1.0
738,1.0
739,1.0
740,1.0
741,9.948485194554109e-38
742,1.0
743,1.0
744,3.222890985409031e-50
745,1.0
746,2.4564758217730374e-06
747,1.0
748,6.099433147159011e-20
749,1.0
750,1.0
751,1.0
752,1.0
753,1.0
754,1.0
755,1.0
756,1.0
757,1.0
758,1.0
759,1.0
760,1.0
761,1.5202193731422068e-21
762,1.0
763,1.0
764,1.0
765,1.0
766,2.813708190603178e-28
767,1.0
768,1.0
769,1.0
770,2.5280394360848584e-45
771,1.5954513955974608e-46
772,1.0
773,3.350901639553615e-42
774,1.0
775,1.0
776,1.0
777,1.0
778,1.0
779,1.0
780,1.0
781,1.0
782,1.0
783,1.0
784,9.817659564033844e-27
785,1.0
786,1.0
787,1.0
788,1.0
789,1.0
790,1.0
791,1.0
792,1.0
793,1.0
794,1.0
795,1.0
796,1.0
797,4.299128504691485e-22
798,3.4370429274211922e-53
799,4.441371393628456e-07
800,1.0
801,1.0
802,1.0
803,1.0
804,1.0
805,1.0
806,0.2203754365553458
807,0.0003864141143029986
808,1.0
809,1.0
810,1.0
811,1.0
812,1.0
813,1.0
814,1.0
815,1.0
816,1.0
817,1.0
818,1.0
819,1.0
820,1.0
821,1.0
822,1.0
823,1.0
824,1.0
825,1.0
826,1.0
827,3.175598344189722e-179
828,1.0
829,1.0
830,1.0
831,1.0
832,1.0
833,3.4278467328749464e-39
834,1.0
835,1.0
836,9.24781934839614e-53
837,1.0
838,1.0
839,1.0
840,1.0
841,1.0
842,3.2751531072962586e-23
843,7.867040354821838e-33
844,1.0
845,1.272250058882577e-53
846,1.0
847,1.0
848,1.0
849,1.0
850,1.0
851,1.0
852,4.6545307677995006e-51
853,1.0
854,1.0
855,1.0
856,1.0
857,0.033186097748317954
858,1.0
859,1.0
860,1.0
861,1.9416689361709048e-41
862,1.0
863,1.0
864,3.6344895507803775e-17
865,1.0
866,1.0
867,1.7581418301490302e-51
868,1.0
869,1.0
870,1.0
871,1.0
872,1.0
873,1.9416689361709048e-41
874,1.0
875,4.3123123555020883e-38
876,3.4370429274211922e-53
877,1.5651118445127938e-25
878,1.0
879,1.0
880,3.6344895507803775e-17
881,1.0
882,1.0
883,1.0
884,2.330535425593769e-43
885,1.0
886,1.0
887,1.0
888,1.0
889,1.0
890,1.0
891,1.0
892,1.0
893,1.0
894,1.0
895,1.0
896,1.0
897,1.0
898,1.0
899,3.4370429274211922e-53
900,1.0
901,8.00465151362742e-39
902,1.0
903,1.0
904,1.3775819160391757e-35
905,1.8616814349931133e-38
906,1.0
907,1.0
908,1.0
909,6.118137872210442e-36
910,1.0
911,3.0892816932108003e-35
912,3.2751531072962586e-23
913,1.0
914,1.0
915,1.0
916,7.503033159398748e-34
917,1.0
918,2.813708190603178e-28
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
924,1.6488701863101656e-33
925,1.0
926,1.0
927,1.0
928,1.0
929,1.0
930,1.0
931,3.35090163955352e-42
932,1.3775819160391561e-35
933,1.0
934,1.0
935,1.0
936,1.0
937,1.0
938,8.429335260256009e-50
939,9.50686938634309e-44
940,1.0
941,0.0008355456804458886
942,1.0
943,3.693209192671601e-32
944,4.690313882679945e-54
945,1.0
946,1.0
947,1.0
948,1.0
949,1.0
950,1.0
951,1.0
952,1.0
953,1.0
954,1.0
955,1.0
956,1.0
957,1.0
958,1.0
959,1.0
960,1.0
961,2.4781958357894282e-52
962,1.0
963,1.0
964,2.5280394360848584e-45
965,1.0
966,1.0
967,1.0
968,1.0
969,1.0
970,1.0
971,1.0
972,1.0
973,1.0
974,1.0
975,1.0
976,1.0
977,1.0
978,1.0
979,1.0
980,1.0
981,1.0
982,1.0
983,1.0
984,1.0
985,1.0
986,1.0
987,1.0
988,1.0
989,1.0
990,2.2858388492164234e-37
991,1.0
992,1.0
993,8.00465151362742e-39
994,1.7079953764664956e-32
995,1.0
996,1.0
997,1.0
998,1.0
999,1.0
1000,1.0
1001,5.643560857726841e-16
1002,1.0
1003,1.0
1004,1.0
1005,1.0
1006,1.0
1007,1.0
1008,6.298460478147263e-45
1009,9.50686938634309e-44
1010,1.0
1011,1.0
1012,4.3123123555020883e-38
1013,1.0
1014,4.6545307677995006e-51
1015,6.6785226655377094e-18
1016,2.330535425593703e-43
1017,1.0
1018,1.0
1019,1.0
1020,1.0
1021,1.0
1022,1.0
1023,1.0
1024,1.0
1025,1.0
1026,1.0
1027,1.0
1028,1.0
1029,1.0
1030,1.0
1031,1.0
1032,1.0
1033,1.0
1034,1.0
1035,1.0
1036,1.0
1037,1.0
1038,1.0
1039,1.0
1040,1.0
1041,1.0
1042,1.0
1043,1.0
1044,1.0
1045,1.0
1046,1.0
1047,9.708685912539599e-48
1048,3.4278467328749464e-39
1049,1.0
1050,1.0
1051,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1058,1.0
1059,1.565111844512816e-25
1060,1.0
1061,1.0
1062,1.5628844749281304e-44
1063,1.0
1064,1.0
1065,1.534840956337247e-34
1066,1.0
1067,1.0
1068,1.0
1069,1.0
1070,1.8616814349931133e-38
1071,1.0
1072,3.2873613614425763e-16
1073,8.100697084135107e-22
1074,1.0
1075,1.0
1076,1.0
1077,1.0
1078,4.5515570282163125e-24
1079,1.0
1080,1.0
1081,1.0
1082,1.0
1083,1.0
1084,1.0
1085,1.0
1086,1.0
1087,1.0
1088,1.0
1089,1.0
1090,1.0
1091,1.0
1092,1.0
1093,1.0
1094,1.0
1095,1.0
1096,4.6545307677995006e-51
1097,1.0
1098,1.0
1099,1.0
1100,1.0
1101,1.0
1102,1.7590152496751945e-06
1103,1.0
1104,1.0
1105,1.0
1106,1.0
1107,1.0
1108,1.7079953764664712e-32
1109,1.7221589750981537e-54
1110,1.0
1111,1.0
1112,1.0
1113,2.1957502630052074e-49
1114,1.0
1115,1.0
1116,1.0
1117,1.0
1118,1.0
1119,1.0
1120,1.5651118445127938e-25
1121,5.690046229229829e-43
1122,1.0
1123,1.0
1124,1.1070221298436868e-40
1125,1.0
1126,1.0
1127,1.0
1128,1.0
1129,1.0
1130,1.7059411897503306e-31
1131,1.0
1132,1.0
1133,1.0
1134,1.0
1135,1.0
1136,1.0
1137,1.0
1138,1.0
1139,1.0
1140,1.0
1141,2.29372641767559e-55
1142,1.0
1143,1.0
1144,1.0
1145,1.0
1146,1.0
1147,1.6488701863102125e-33
1148,1.0
1149,1.0
1150,1.0
1151,1.0
1152,1.0
1153,1.0
1154,1.0
1155,1.0
1156,1.0
1157,1.0
1158,1.0
1159,1.0
1160,1.0
1161,1.0
1162,7.257203434163829e-08
1163,1.0
1164,1.0
1165,1.0
1166,1.0
1167,5.690046229229829e-43
1168,1.0
1169,1.0
1170,1.0
1171,1.0
1172,1.0
1173,9.24781934839614e-53
1174,1.0
1175,1.0
1176,1.0
1177,1.0
1178,9.50686938634309e-44
1179,1.0
1180,1.0
1181,1.0
1182,2.330535425593769e-43
1183,1.0
1184,7.753393400143665e-31
1185,5.690046229229829e-43
1186,1.3836230399951132e-42
1187,1.0
1188,1.9416689361709048e-41
1189,1.0
1190,6.118137872210616e-36
1191,1.1070221298436868e-40
1192,1.0
1193,1.0
1194,1.0
1195,1.0
1196,1.0
1197,0.0013691715453577455
1198,1.0
1199,1.0
1200,1.0
1201,1.0
1202,1.0
1203,1.0
1204,1.0
1205,1.0
1206,1.0
1207,1.0
1208,1.0
1209,1.0
1210,2.478332598038158e-47
1211,1.0
1212,1.0
1213,1.0
1214,1.0
1215,1.0
1216,3.4370429274211922e-53
1217,1.0
1218,1.0
1219,1.0
1220,1.0
1221,1.0
1222,1.0
1223,3.680509142606074e-14
1224,1.0
1225,1.0
1226,1.0
1227,3.608925937286613e-33
1228,1.0
1229,8.100697084135107e-22
1230,1.1794861347337468e-17
1231,1.0
1232,1.0
1233,1.0
1234,3.222890985409031e-50
1235,1.0
1236,1.0
1237,1.0
1238,3.693209192671496e-32
1239,1.0
1240,3.644240124709243e-31
1241,1.0
1242,1.0
1243,1.0
1244,1.0
1245,1.0
1246,1.0
1247,1.0
1248,1.0
1249,1.1921986502814639e-36
1250,1.0
1251,1.0
1252,0.1450834989464055
1253,1.0
1254,1.0
1255,1.0
1256,1.0
1257,1.0
1258,1.0
1259,1.0
1260,1.0
1261,1.0
1262,1.0
1263,1.0
1264,1.0
1265,3.4003934465291228e-34
1266,3.7879411038824467e-48
1267,1.0
1268,1.0
1269,1.0
1270,1.0
1271,1.0
1272,1.0
1273,1.0
1274,1.0
1275,1.0
1276,1.0
1277,1.0
1278,1.5628844749281304e-44
1279,7.867040354821838e-33
1280,1.0
1281,1.0
1282,1.0
1283,1.0
1284,1.0
1285,1.0
1286,1.0
1287,1.0
1288,4.299128504691485e-22
1289,3.4370429274211922e-53
1290,1.0
1291,1.0
1292,1.0
1293,1.0
1294,1.0
1295,1.0
1296,1.0
1297,1.0
1298,1.0
1299,1.0
1300,1.0
1301,1.0
1302,1.0
1303,1.0
1304,1.0
1305,1.0
1306,1.0
1307,1.0
1308,1.0
1309,1.0
1310,1.0
1311,4.3123123555020883e-38
1312,1.0
1313,1.0
1314,1.0
1315,7.195532129624472e-11
1316,1.0
1317,1.0
1318,1.0
1319,1.0
1320,1.0
1321,2.330535425593769e-43
1322,1.0
1323,1.1163909118689219e-10
1324,1.0
1325,6.592493418966569e-19
1326,1.0
1327,1.0
1328,2.285838849216391e-37
1329,1.0
1330,1.0
1331,1.0
1332,1.0
1333,1.0
1334,6.092433627717794e-14
1335,1.0
1336,1.0
1337,1.0
1338,1.0
1339,1.0
1340,4.6545307677995006e-51
1341,1.0
1342,1.0
1343,1.0
1344,1.0
1345,1.0
1346,0.010342524806443673
1347,1.0
1348,1.0
1349,1.0
1350,1.0
1351,1.0
1352,1.0
1353,1.0
1354,1.0
1355,1.0
1356,1.0
1357,1.3836230399951132e-42
1358,1.0
1359,6.118137872210442e-36
1360,1.0
1361,1.0
1362,1.0
1363,1.0
1364,1.0
1365,0.1251719389927782
1366,1.0
1367,1.0
1368,1.0
1369,1.0
1370,1.0
1371,1.0
1372,1.0
1373,1.0
1374,1.0
1375,4.3123123555020883e-38
1376,2.627300323538568e-40
1377,1.0
1378,1.0
1379,1.0
1380,1.0
1381,1.0
1382,1.7033314425068937e-23
1383,1.0
1384,1.0
1385,1.0
1386,8.082532863228708e-42
1387,1.0
1388,1.0
1389,1.0
1390,1.0
1391,1.0
1392,1.0
1393,1.0
1394,1.0
1395,1.0
1396,1.0
1397,4.6545307677995006e-51
1398,1.0
1399,1.0
1400,1.0
1401,1.0
1402,1.0
1403,7.867040354821838e-33
1404,1.0
1405,1.0
1406,3.4370429274211922e-53
1407,1.0
1408,1.0
1409,1.0
1410,1.8616814349931133e-38
1411,1.0
1412,1.0
1413,1.0
1414,1.0
1415,1.0
1416,1.0
1417,1.0
1418,1.0
1419,1.0
1420,1.0
1421,1.0
1422,1.0
1423,1.0
1424,1.0
1425,1.0
1426,1.0
1427,1.0
1428,1.0
1429,1.0
1430,1.0
1431,3.350901639553615e-42
1432,1.0
1433,1.0
1434,1.0
1435,1.0
1436,1.0
1437,1.0
1438,1.0
1439,1.0
1440,1.0
1441,1.0
1442,1.0
1443,2.7062193219955424e-36
1444,1.0
1445,1.0
1446,1.0
1447,1.0
1448,1.0
1449,1.0
1450,1.0
1451,1.0
1452,1.0
1453,1.0
1454,1.0
1455,1.0
1456,1.0
1457,1.0
1458,4.863829886661986e-27
1459,1.0
1460,1.0
1461,1.0
1462,1.0
1463,1.2272691244330385e-50
1464,1.0
1465,1.0
1466,1.0
1467,1.0
1468,1.0
1469,1.0
1470,1.0
1471,1.0
1472,1.0
1473,1.0
1474,1.0
1475,1.0
1476,1.0
1477,1.0
1478,7.287821893519175e-30
1479,1.0
1480,1.0
1481,1.0
1482,1.0
1483,1.0
1484,1.0
1485,1.0
1486,1.0
1487,1.1070221298436868e-40
1488,1.1921986502814639e-36
1489,1.0
1490,4.645631849428586e-41
1491,1.0
1492,1.0
1493,1.0
1494,1.0
1495,1.0
1496,8.429335260256009e-50
1497,6.6141465398247105e-52
1498,1.0
1499,1.0
1500,1.0
1501,1.0
1502,1.5628844749281526e-44
1503,1.0
1504,3.862435588040674e-44
1505,1.0
1506,1.0
1507,1.0
1508,1.0
1509,1.3660260619270035e-28
1510,1.0
1511,1.0
1512,1.0
1513,1.0
1514,1.0
1515,1.0
1516,8.00465151362742e-39
1517,1.0
1518,1.0
1519,1.0
1520,2.330535425593769e-43
1521,2.1957502630052074e-49
1522,1.0
1523,1.0
1524,1.0
1525,1.0
1526,1.0
1527,1.0
1528,7.195532129624472e-11
1529,1.0
1530,1.0
1531,1.0
1532,2.5280394360848584e-45
1533,1.0
1534,1.0
1535,1.0
1536,1.0
1537,1.0
1538,1.0
1539,1.0
1540,1.0
1541,1.7221589750981537e-54
1542,1.0
1543,1.0
1544,1.0
1545,1.0
1546,1.0
1547,1.1967086529506005e-24
1548,1.0
1549,1.0
1550,1.0
1551,6.212248769484293e-10
1552,1.0
1553,1.0
1554,1.0
1555,3.4179327273972e-08
1556,1.0
1557,2.7062193219955424e-36
1558,1.0
1559,1.0
1560,1.0
1561,1.0
1562,1.0
1563,1.0
1564,1.0
1565,1.0
1566,1.0
1567,1.0
1568,1.0
1569,1.0
1570,1.9416689361709048e-41
1571,1.0
1572,1.8616814349931133e-38
1573,1.0
1574,1.0
1575,9.50686938634309e-44
1576,1.0
1577,5.690046229229829e-43
1578,1.0
1579,1.0
1580,1.0
1581,1.0
1582,1.0
1583,1.0
1584,1.0
1585,1.0
1586,1.0
1587,1.0
1588,1.0
1589,1.0
1590,1.3775819160391561e-35
1591,1.0
1592,1.0
1593,1.0
1594,1.0
1595,1.0
1596,1.0
1597,7.503033159398748e-34
1598,1.0
1599,1.2272691244330385e-50
1600,1.0
1601,1.0
1602,1.0
1603,1.0
1604,1.0
1605,1.0
1606,1.0
1607,1.0
1608,1.0
1609,1.0
1610,1.0
1611,1.0
1612,1.0
1613,1.0
1614,1.0
1615,1.0
1616,9.50686938634309e-44
1617,1.0
1618,1.0
1619,1.0
1620,1.0
1621,1.0
1622,1.0
1623,0.005466716609557042
1624,1.0
1625,1.0
1626,1.5954513955974608e-46
1627,1.0
1628,1.0
1629,1.0
1630,9.50686938634309e-44
1631,1.1962507092103867e-22
1632,1.0
1633,9.50686938634309e-44
1634,1.0
1635,1.0
1636,1.0
1637,1.0
1638,1.0
1639,1.0
1640,1.0
1641,1.0
1642,8.822844474821214e-24
1643,3.644240124709243e-31
1644,1.0
1645,1.0
1646,1.0
1647,1.0
1648,1.0
1649,4.645631849428586e-41
1650,1.0
1651,1.0
1652,1.0
1653,1.0
1654,9.50686938634309e-44
1655,1.0
1656,1.3836230399951132e-42
1657,1.0
1658,1.0
1659,1.0
1660,1.9416689361709048e-41
1661,1.0
1662,1.0
1663,1.0
1664,1.0
1665,1.0
1666,2.627300323538568e-40
1667,1.0
1668,1.0
1669,1.0
1670,1.0
1671,1.0
1672,1.0
1673,1.0
1674,1.0
1675,1.0
1676,1.0
1677,1.0
1678,1.0
1679,1.0
1680,1.0
1681,9.24781934839614e-53
1682,1.0
1683,1.0
1684,1.0
1685,1.0
1686,1.0
1687,2.6549036025726344e-10
1688,1.0
1689,1.0
1690,7.050913527121893e-90
1691,1.1962507092103867e-22
1692,1.0
1693,1.7581418301490302e-51
1694,1.0
1695,1.0
1696,9.24781934839614e-53
1697,1.0
1698,1.0
1699,1.0
1700,1.0
1701,1.0
1702,1.0
1703,1.0
1704,1.0
1705,1.0
1706,1.5256334512441786e-29
1707,1.0
1708,1.0
1709,1.0
1710,1.0
1711,1.0
1712,2.478332598038158e-47
1713,1.0
1714,1.0
1715,1.0
1716,1.0
1717,1.0
1718,1.0
1719,1.0
1720,6.30087162869183e-47
1721,1.0
1722,1.534840956337247e-34
1723,1.0
1724,1.0
1725,1.0
1726,2.7062193219955424e-36
1727,1.0
1728,1.9416689361709048e-41
1729,1.0
1730,1.0
1731,1.0
1732,6.118137872210442e-36
1733,1.0
1734,1.0
1735,1.0
1736,1.0
1737,1.0
1738,1.0
1739,1.0
1740,1.0
1741,1.0
1742,1.0
1743,1.1512462607261179e-12
1744,1.0
1745,1.0
1746,3.0892816932108003e-35
1747,1.0
1748,1.0
1749,1.0
1750,1.0
1751,1.0
1752,1.0
1753,1.0
1754,1.0
1755,9.24781934839614e-53
1756,1.0
1757,1.0
1758,1.0
1759,7.867040354821838e-33
1760,1.0
1761,1.0
1762,0.033186097748317954
1763,8.082532863228708e-42
1764,1.0
1765,1.0
1766,1.0
1767,1.0
1768,2.2723768976047754e-22
1769,1.0
1770,1.0
1771,1.0
1772,1.0
1773,1.0
1774,1.0
1775,1.0
1776,1.0
1777,1.0
1778,1.0
1779,1.0
1780,1.0
1781,1.3660260619270228e-28
1782,1.0
1783,3.369823015727581e-82
1784,1.0
1785,1.0
1786,1.0
1787,1.0
1788,1.0
1789,1.0
1790,1.0
1791,1.0
1792,1.0
1793,1.0
1794,1.0
1795,1.0
1796,1.0
1797,1.0
1798,1.0
1799,1.7079953764664956e-32
1800,1.0
1801,1.0
1802,1.0
1803,1.0
1804,1.0
